DATAFLOW,LAST UPDATE,freq,deg_urb,levels,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,EL,2019,31.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,EL,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,EL,2019,58.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,ES,2019,3.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,ES,2019,12.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,ES,2019,61.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,ES,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,ES,2019,22.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,EU27_2020,2019,4.5,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,EU27_2020,2019,17.7,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,EU27_2020,2019,52.4,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,EU27_2020,2019,1.0,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,EU27_2020,2019,24.4,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,FI,2019,3.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,FI,2019,20.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,FI,2019,54.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,FI,2019,0.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,FI,2019,21.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,FR,2019,5.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,FR,2019,20.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,FR,2019,47.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,FR,2019,0.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,FR,2019,25.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,HR,2019,7.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,HR,2019,17.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,HR,2019,37.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,HR,2019,1.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,HR,2019,35.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,HU,2019,5.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,HU,2019,24.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,HU,2019,49.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,HU,2019,1.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,HU,2019,19.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,IE,2019,2.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,IE,2019,10.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,IE,2019,38.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,IE,2019,0.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,IE,2019,48.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,IT,2019,2.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,IT,2019,12.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,IT,2019,64.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,IT,2019,0.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,IT,2019,20.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,LT,2019,6.0,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,LT,2019,34.2,u
