,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,341.000,0.019,288.000,0.016,465.000,0.026,749.000,0.041,996.000,0.055,2542.000,0.140,2590.000,0.143,3136.000,0.173,3095.000,0.170,1735.000,0.096,1917.000,0.106,302.000,0.017,6.600
BE,548.000,548.000,10.000,0.018,11.000,0.020,13.000,0.023,30.000,0.055,32.000,0.059,85.000,0.155,95.000,0.174,93.000,0.169,90.000,0.163,42.000,0.076,37.000,0.068,10.000,0.019,6.300
BG,513.000,513.000,5.000,0.010,4.000,0.008,14.000,0.028,20.000,0.038,22.000,0.043,73.000,0.143,57.000,0.110,67.000,0.130,70.000,0.136,54.000,0.105,122.000,0.237,6.000,0.011,7.100
CZ,520.000,520.000,16.000,0.030,13.000,0.026,17.000,0.032,24.000,0.046,34.000,0.065,98.000,0.189,63.000,0.122,90.000,0.173,82.000,0.158,37.000,0.071,42.000,0.081,4.000,0.007,6.100
DK,535.000,535.000,17.000,0.032,19.000,0.036,24.000,0.045,52.000,0.096,41.000,0.076,105.000,0.197,88.000,0.164,83.000,0.155,60.000,0.112,16.000,0.031,23.000,0.042,7.000,0.014,5.400
DE,1548.000,1548.000,38.000,0.024,11.000,0.007,49.000,0.032,75.000,0.049,89.000,0.057,240.000,0.155,229.000,0.148,259.000,0.167,266.000,0.172,146.000,0.094,117.000,0.076,28.000,0.018,6.400
EE,513.000,513.000,21.000,0.041,18.000,0.034,26.000,0.050,59.000,0.114,41.000,0.079,101.000,0.198,73.000,0.143,72.000,0.141,55.000,0.107,24.000,0.046,21.000,0.040,3.000,0.007,5.300
IE,568.000,568.000,10.000,0.018,7.000,0.012,25.000,0.044,33.000,0.059,29.000,0.051,86.000,0.151,91.000,0.161,86.000,0.151,103.000,0.182,47.000,0.083,42.000,0.074,8.000,0.015,6.300
EL,547.000,547.000,5.000,0.010,1.000,0.001,11.000,0.021,11.000,0.021,14.000,0.026,44.000,0.081,70.000,0.127,80.000,0.146,127.000,0.232,85.000,0.155,94.000,0.171,4.000,0.008,7.400
ES,1519.000,1519.000,24.000,0.016,24.000,0.016,35.000,0.023,72.000,0.048,93.000,0.061,221.000,0.146,241.000,0.159,295.000,0.194,249.000,0.164,127.000,0.083,116.000,0.076,21.000,0.014,6.400
FR,1512.000,1512.000,33.000,0.022,36.000,0.024,43.000,0.029,58.000,0.038,99.000,0.065,235.000,0.156,242.000,0.160,267.000,0.177,231.000,0.153,98.000,0.065,127.000,0.084,43.000,0.028,6.300
HR,527.000,527.000,13.000,0.024,13.000,0.025,21.000,0.040,29.000,0.055,38.000,0.073,79.000,0.151,57.000,0.109,73.000,0.138,78.000,0.147,55.000,0.105,65.000,0.122,6.000,0.010,6.300
IT,1498.000,1498.000,15.000,0.010,9.000,0.006,15.000,0.010,26.000,0.017,51.000,0.034,138.000,0.092,201.000,0.135,281.000,0.187,342.000,0.228,199.000,0.133,206.000,0.137,15.000,0.010,7.300
CY,107.000,107.000,5.000,0.043,2.000,0.020,1.000,0.008,5.000,0.050,4.000,0.039,14.000,0.127,12.000,0.116,12.000,0.113,14.000,0.128,19.000,0.174,18.000,0.169,1.000,0.013,6.800
LV,538.000,538.000,12.000,0.023,19.000,0.035,13.000,0.024,24.000,0.045,32.000,0.059,90.000,0.167,81.000,0.150,81.000,0.150,89.000,0.165,47.000,0.088,45.000,0.083,6.000,0.010,6.200
LT,535.000,535.000,6.000,0.012,13.000,0.024,12.000,0.022,25.000,0.046,30.000,0.056,73.000,0.137,83.000,0.155,93.000,0.173,74.000,0.139,45.000,0.083,69.000,0.129,13.000,0.024,6.600
LU,106.000,106.000,2.000,0.022,2.000,0.016,2.000,0.021,4.000,0.035,3.000,0.032,6.000,0.059,10.000,0.091,16.000,0.156,22.000,0.204,16.000,0.146,22.000,0.209,1.000,0.009,7.300
HU,553.000,553.000,26.000,0.046,28.000,0.051,20.000,0.037,46.000,0.083,34.000,0.062,97.000,0.176,68.000,0.122,82.000,0.148,56.000,0.102,40.000,0.072,50.000,0.090,6.000,0.012,5.700
MT,103.000,103.000,2.000,0.021,1.000,0.013,0.000,0.000,10.000,0.099,4.000,0.040,24.000,0.229,7.000,0.069,17.000,0.164,10.000,0.097,9.000,0.092,17.000,0.170,1.000,0.008,6.500
NL,578.000,578.000,8.000,0.015,7.000,0.013,14.000,0.024,19.000,0.033,40.000,0.069,70.000,0.121,108.000,0.187,141.000,0.244,88.000,0.152,43.000,0.075,32.000,0.056,6.000,0.011,6.400
AT,528.000,528.000,15.000,0.027,16.000,0.030,16.000,0.031,32.000,0.061,43.000,0.082,75.000,0.141,71.000,0.134,90.000,0.171,80.000,0.151,31.000,0.059,41.000,0.078,18.000,0.035,6.000
PL,1496.000,1496.000,19.000,0.012,20.000,0.014,31.000,0.020,41.000,0.027,54.000,0.036,184.000,0.123,178.000,0.119,240.000,0.161,263.000,0.175,197.000,0.132,238.000,0.159,31.000,0.021,7.100
PT,564.000,564.000,2.000,0.003,0.000,0.000,9.000,0.015,15.000,0.027,20.000,0.036,83.000,0.147,70.000,0.124,105.000,0.187,121.000,0.215,67.000,0.118,68.000,0.121,4.000,0.007,7.100
RO,532.000,532.000,5.000,0.009,7.000,0.013,3.000,0.005,9.000,0.017,17.000,0.031,49.000,0.093,48.000,0.090,73.000,0.138,95.000,0.178,79.000,0.148,140.000,0.263,8.000,0.014,7.700
SI,528.000,528.000,9.000,0.016,8.000,0.015,17.000,0.032,30.000,0.057,18.000,0.035,74.000,0.139,68.000,0.128,89.000,0.168,79.000,0.149,54.000,0.103,81.000,0.153,3.000,0.005,6.700
SK,528.000,528.000,14.000,0.026,14.000,0.026,16.000,0.029,29.000,0.055,26.000,0.050,99.000,0.187,80.000,0.151,73.000,0.139,67.000,0.127,36.000,0.068,69.000,0.132,4.000,0.008,6.300
FI,548.000,548.000,4.000,0.008,8.000,0.015,16.000,0.030,39.000,0.072,42.000,0.077,88.000,0.160,74.000,0.135,104.000,0.189,92.000,0.167,43.000,0.078,30.000,0.055,8.000,0.014,6.200
SE,564.000,564.000,18.000,0.031,23.000,0.041,38.000,0.067,39.000,0.070,61.000,0.108,97.000,0.172,69.000,0.122,74.000,0.130,71.000,0.126,39.000,0.068,35.000,0.061,2.000,0.004,5.600
