,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,49.000,0.003,44.000,0.002,93.000,0.005,197.000,0.011,292.000,0.016,1098.000,0.060,1408.000,0.078,2508.000,0.138,3740.000,0.206,3118.000,0.172,5428.000,0.299,180.000,0.010,8.100
BE,548.000,548.000,1.000,0.002,0.000,0.000,5.000,0.010,0.000,0.000,4.000,0.008,31.000,0.057,66.000,0.121,87.000,0.158,125.000,0.228,102.000,0.187,117.000,0.213,9.000,0.017,7.900
BG,513.000,513.000,1.000,0.001,0.000,0.000,0.000,0.000,2.000,0.004,5.000,0.010,24.000,0.046,19.000,0.038,43.000,0.085,71.000,0.138,87.000,0.169,257.000,0.501,4.000,0.007,8.800
CZ,520.000,520.000,2.000,0.003,3.000,0.005,3.000,0.005,6.000,0.012,14.000,0.027,35.000,0.067,33.000,0.064,55.000,0.105,111.000,0.214,79.000,0.151,178.000,0.342,2.000,0.004,8.100
DK,535.000,535.000,3.000,0.005,5.000,0.009,2.000,0.004,9.000,0.017,23.000,0.043,45.000,0.085,59.000,0.111,91.000,0.169,108.000,0.202,75.000,0.140,109.000,0.204,5.000,0.010,7.500
DE,1548.000,1548.000,4.000,0.003,3.000,0.002,12.000,0.007,23.000,0.015,31.000,0.020,105.000,0.068,121.000,0.078,196.000,0.126,316.000,0.204,271.000,0.175,449.000,0.290,19.000,0.012,8.000
EE,513.000,513.000,3.000,0.006,1.000,0.002,4.000,0.008,9.000,0.017,17.000,0.034,63.000,0.123,57.000,0.112,96.000,0.187,106.000,0.206,69.000,0.134,81.000,0.158,6.000,0.012,7.300
IE,568.000,568.000,2.000,0.003,1.000,0.002,5.000,0.008,9.000,0.015,22.000,0.038,55.000,0.097,57.000,0.100,85.000,0.150,107.000,0.188,97.000,0.171,124.000,0.218,5.000,0.009,7.600
EL,547.000,547.000,2.000,0.003,2.000,0.003,3.000,0.006,4.000,0.007,7.000,0.013,27.000,0.049,35.000,0.064,62.000,0.112,106.000,0.194,109.000,0.199,188.000,0.344,3.000,0.006,8.300
ES,1519.000,1519.000,4.000,0.002,3.000,0.002,5.000,0.003,10.000,0.007,9.000,0.006,65.000,0.043,114.000,0.075,185.000,0.121,302.000,0.199,297.000,0.196,517.000,0.340,10.000,0.006,8.400
FR,1512.000,1512.000,5.000,0.004,4.000,0.003,6.000,0.004,18.000,0.012,16.000,0.011,89.000,0.059,116.000,0.077,252.000,0.167,331.000,0.219,253.000,0.168,402.000,0.266,19.000,0.013,8.000
HR,527.000,527.000,2.000,0.004,0.000,0.000,2.000,0.003,5.000,0.010,6.000,0.011,39.000,0.075,34.000,0.064,61.000,0.117,89.000,0.168,81.000,0.154,202.000,0.383,6.000,0.011,8.300
IT,1498.000,1498.000,1.000,0.001,1.000,0.001,2.000,0.001,12.000,0.008,14.000,0.009,56.000,0.037,78.000,0.052,185.000,0.124,331.000,0.221,288.000,0.193,521.000,0.348,9.000,0.006,8.500
CY,107.000,107.000,0.000,0.000,1.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.035,5.000,0.049,5.000,0.051,22.000,0.208,17.000,0.163,51.000,0.475,1.000,0.007,8.800
LV,538.000,538.000,1.000,0.003,6.000,0.011,2.000,0.003,7.000,0.013,14.000,0.026,45.000,0.084,47.000,0.088,67.000,0.125,115.000,0.213,80.000,0.149,148.000,0.275,6.000,0.011,7.900
LT,535.000,535.000,6.000,0.011,2.000,0.004,5.000,0.010,10.000,0.020,9.000,0.017,39.000,0.074,33.000,0.062,69.000,0.128,79.000,0.147,82.000,0.153,191.000,0.357,9.000,0.017,8.100
LU,106.000,106.000,2.000,0.022,1.000,0.013,0.000,0.000,0.000,0.000,2.000,0.019,3.000,0.026,2.000,0.019,5.000,0.047,20.000,0.188,18.000,0.167,52.000,0.489,1.000,0.009,8.600
HU,553.000,553.000,2.000,0.003,1.000,0.003,5.000,0.010,10.000,0.018,18.000,0.032,68.000,0.122,53.000,0.096,77.000,0.139,101.000,0.184,80.000,0.145,136.000,0.246,2.000,0.004,7.600
MT,103.000,103.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.007,1.000,0.007,3.000,0.029,6.000,0.059,9.000,0.087,17.000,0.169,9.000,0.089,56.000,0.545,1.000,0.008,8.800
NL,578.000,578.000,1.000,0.002,1.000,0.001,2.000,0.004,6.000,0.010,11.000,0.018,34.000,0.059,66.000,0.115,115.000,0.199,162.000,0.280,82.000,0.142,96.000,0.166,1.000,0.002,7.700
AT,528.000,528.000,2.000,0.003,5.000,0.009,7.000,0.013,6.000,0.011,14.000,0.026,37.000,0.070,37.000,0.070,75.000,0.142,86.000,0.164,68.000,0.129,178.000,0.337,13.000,0.025,8.000
PL,1496.000,1496.000,7.000,0.004,2.000,0.001,9.000,0.006,16.000,0.011,31.000,0.021,127.000,0.085,161.000,0.108,258.000,0.173,303.000,0.202,230.000,0.154,327.000,0.219,24.000,0.016,7.700
PT,564.000,564.000,1.000,0.002,0.000,0.000,1.000,0.001,1.000,0.001,5.000,0.008,16.000,0.029,29.000,0.052,52.000,0.093,95.000,0.169,120.000,0.213,240.000,0.425,4.000,0.007,8.700
RO,532.000,532.000,1.000,0.002,4.000,0.008,1.000,0.002,2.000,0.003,7.000,0.014,23.000,0.042,23.000,0.043,46.000,0.086,85.000,0.161,90.000,0.169,246.000,0.463,4.000,0.008,8.600
SI,528.000,528.000,0.000,0.000,0.000,0.000,2.000,0.004,2.000,0.004,8.000,0.015,30.000,0.056,27.000,0.051,55.000,0.104,96.000,0.181,95.000,0.180,206.000,0.391,8.000,0.015,8.500
SK,528.000,528.000,1.000,0.002,2.000,0.004,2.000,0.004,7.000,0.012,4.000,0.008,41.000,0.078,23.000,0.044,60.000,0.114,92.000,0.174,93.000,0.176,201.000,0.381,1.000,0.002,8.300
FI,548.000,548.000,1.000,0.002,0.000,0.000,4.000,0.007,5.000,0.010,14.000,0.025,35.000,0.064,60.000,0.109,100.000,0.183,121.000,0.222,101.000,0.185,100.000,0.182,7.000,0.013,7.700
SE,564.000,564.000,2.000,0.004,2.000,0.004,9.000,0.016,21.000,0.037,21.000,0.038,39.000,0.069,52.000,0.093,76.000,0.135,119.000,0.211,78.000,0.137,143.000,0.253,2.000,0.003,7.600
