,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,99.000,0.005,87.000,0.005,161.000,0.009,294.000,0.016,536.000,0.030,1364.000,0.075,1574.000,0.087,2518.000,0.139,3565.000,0.196,3405.000,0.188,4358.000,0.240,195.000,0.011,7.800
BE,548.000,548.000,3.000,0.006,1.000,0.002,7.000,0.012,7.000,0.013,19.000,0.034,50.000,0.092,87.000,0.159,108.000,0.198,136.000,0.247,76.000,0.139,46.000,0.084,8.000,0.014,7.200
BG,513.000,513.000,3.000,0.005,3.000,0.006,2.000,0.005,6.000,0.012,6.000,0.011,35.000,0.068,20.000,0.039,38.000,0.073,68.000,0.134,78.000,0.153,247.000,0.481,7.000,0.014,8.600
CZ,520.000,520.000,1.000,0.002,3.000,0.006,4.000,0.008,10.000,0.020,11.000,0.022,40.000,0.077,39.000,0.075,57.000,0.110,96.000,0.184,104.000,0.200,153.000,0.294,2.000,0.004,8.000
DK,535.000,535.000,3.000,0.006,3.000,0.006,6.000,0.011,14.000,0.026,17.000,0.032,41.000,0.076,34.000,0.064,76.000,0.143,110.000,0.205,99.000,0.185,126.000,0.235,6.000,0.011,7.700
DE,1548.000,1548.000,14.000,0.009,14.000,0.009,19.000,0.012,38.000,0.025,81.000,0.053,160.000,0.104,179.000,0.116,232.000,0.150,305.000,0.197,250.000,0.162,230.000,0.149,24.000,0.015,7.200
EE,513.000,513.000,4.000,0.008,1.000,0.002,8.000,0.015,15.000,0.029,9.000,0.018,38.000,0.075,51.000,0.099,70.000,0.137,110.000,0.215,102.000,0.199,103.000,0.201,2.000,0.003,7.700
IE,568.000,568.000,5.000,0.008,7.000,0.012,5.000,0.008,7.000,0.013,25.000,0.044,30.000,0.054,43.000,0.076,81.000,0.143,110.000,0.194,104.000,0.184,144.000,0.254,6.000,0.010,7.800
EL,547.000,547.000,3.000,0.006,0.000,0.000,5.000,0.010,5.000,0.009,10.000,0.018,35.000,0.064,34.000,0.062,78.000,0.142,110.000,0.202,106.000,0.194,154.000,0.282,6.000,0.011,8.100
ES,1519.000,1519.000,5.000,0.003,4.000,0.002,11.000,0.007,10.000,0.007,25.000,0.017,79.000,0.052,117.000,0.077,214.000,0.141,299.000,0.197,328.000,0.216,417.000,0.274,10.000,0.006,8.100
FR,1512.000,1512.000,4.000,0.003,4.000,0.003,12.000,0.008,27.000,0.018,33.000,0.022,146.000,0.096,132.000,0.087,231.000,0.153,330.000,0.218,263.000,0.174,314.000,0.208,15.000,0.010,7.700
HR,527.000,527.000,4.000,0.007,2.000,0.003,10.000,0.019,7.000,0.014,12.000,0.022,43.000,0.082,43.000,0.081,66.000,0.125,93.000,0.176,107.000,0.204,135.000,0.257,5.000,0.010,7.800
IT,1498.000,1498.000,1.000,0.001,1.000,0.001,9.000,0.006,5.000,0.003,19.000,0.013,42.000,0.028,66.000,0.044,160.000,0.107,290.000,0.194,345.000,0.230,551.000,0.368,9.000,0.006,8.600
CY,107.000,107.000,0.000,0.000,0.000,0.000,1.000,0.011,0.000,0.000,3.000,0.023,11.000,0.103,9.000,0.081,13.000,0.126,12.000,0.112,23.000,0.213,35.000,0.324,1.000,0.007,8.100
LV,538.000,538.000,2.000,0.003,3.000,0.005,4.000,0.008,12.000,0.022,16.000,0.030,46.000,0.085,50.000,0.093,94.000,0.174,103.000,0.191,94.000,0.174,106.000,0.198,9.000,0.016,7.600
