,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
LT,535.000,535.000,3.000,0.005,8.000,0.015,5.000,0.009,13.000,0.024,10.000,0.019,40.000,0.074,40.000,0.075,71.000,0.133,81.000,0.151,103.000,0.193,156.000,0.292,6.000,0.010,7.900
LU,106.000,106.000,2.000,0.017,1.000,0.013,3.000,0.028,4.000,0.041,2.000,0.017,10.000,0.098,11.000,0.105,10.000,0.095,20.000,0.189,18.000,0.169,21.000,0.195,4.000,0.033,7.300
HU,553.000,553.000,3.000,0.005,1.000,0.002,7.000,0.012,10.000,0.017,20.000,0.036,45.000,0.081,47.000,0.085,68.000,0.123,98.000,0.176,93.000,0.168,161.000,0.291,2.000,0.004,7.900
MT,103.000,103.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.008,0.000,0.000,4.000,0.041,2.000,0.019,8.000,0.076,19.000,0.187,27.000,0.265,42.000,0.405,0.000,0.000,8.800
NL,578.000,578.000,6.000,0.011,3.000,0.005,4.000,0.006,13.000,0.022,26.000,0.045,49.000,0.085,83.000,0.143,121.000,0.209,128.000,0.222,95.000,0.164,48.000,0.083,3.000,0.005,7.100
AT,528.000,528.000,9.000,0.017,4.000,0.007,11.000,0.021,21.000,0.039,26.000,0.050,49.000,0.092,61.000,0.115,65.000,0.124,77.000,0.146,79.000,0.151,106.000,0.200,20.000,0.039,7.200
PL,1496.000,1496.000,10.000,0.007,12.000,0.008,14.000,0.010,32.000,0.022,47.000,0.032,127.000,0.085,155.000,0.104,224.000,0.150,308.000,0.206,269.000,0.180,270.000,0.180,26.000,0.018,7.500
PT,564.000,564.000,0.000,0.000,1.000,0.001,2.000,0.003,1.000,0.001,8.000,0.014,22.000,0.039,22.000,0.040,39.000,0.069,110.000,0.196,128.000,0.227,226.000,0.401,6.000,0.011,8.700
RO,532.000,532.000,2.000,0.004,3.000,0.005,1.000,0.002,4.000,0.007,8.000,0.015,16.000,0.030,21.000,0.039,44.000,0.082,72.000,0.136,105.000,0.198,253.000,0.476,3.000,0.005,8.700
SI,528.000,528.000,0.000,0.000,5.000,0.009,8.000,0.014,13.000,0.025,16.000,0.031,60.000,0.114,55.000,0.104,82.000,0.156,106.000,0.200,89.000,0.169,93.000,0.177,0.000,0.000,7.400
SK,528.000,528.000,3.000,0.006,2.000,0.004,3.000,0.006,7.000,0.014,16.000,0.029,34.000,0.064,21.000,0.040,68.000,0.129,104.000,0.198,108.000,0.205,158.000,0.299,4.000,0.008,8.100
FI,548.000,548.000,1.000,0.002,4.000,0.008,3.000,0.006,13.000,0.024,13.000,0.024,41.000,0.076,42.000,0.077,69.000,0.126,103.000,0.188,131.000,0.239,125.000,0.228,2.000,0.004,7.900
SE,564.000,564.000,7.000,0.012,2.000,0.004,5.000,0.008,10.000,0.018,24.000,0.042,45.000,0.080,44.000,0.079,79.000,0.140,91.000,0.162,128.000,0.228,123.000,0.219,4.000,0.008,7.700
