,Base: Total,Base: Weighted Total,A great deal,A great deal pct,Some,Some pct,Not very much,Not very much pct,None at all,None at all pct,Don't know,Don't know pct
EU27,18156.000,18156.000,1680.000,0.093,5268.000,0.290,6590.000,0.363,4131.000,0.228,486.000,0.027
BE,548.000,548.000,26.000,0.048,110.000,0.201,202.000,0.368,192.000,0.351,18.000,0.032
BG,513.000,513.000,49.000,0.096,136.000,0.265,182.000,0.354,132.000,0.257,14.000,0.028
CZ,520.000,520.000,20.000,0.038,133.000,0.256,225.000,0.433,135.000,0.260,7.000,0.013
DK,535.000,535.000,49.000,0.091,202.000,0.377,190.000,0.354,72.000,0.134,23.000,0.044
DE,1548.000,1548.000,151.000,0.098,543.000,0.351,597.000,0.386,211.000,0.136,46.000,0.030
EE,513.000,513.000,28.000,0.054,170.000,0.331,217.000,0.423,88.000,0.171,11.000,0.021
IE,568.000,568.000,62.000,0.110,193.000,0.340,186.000,0.327,110.000,0.194,16.000,0.029
EL,547.000,547.000,40.000,0.074,142.000,0.260,197.000,0.361,161.000,0.294,6.000,0.010
ES,1519.000,1519.000,208.000,0.137,484.000,0.319,550.000,0.362,264.000,0.174,13.000,0.009
FR,1512.000,1512.000,115.000,0.076,279.000,0.185,504.000,0.333,549.000,0.363,65.000,0.043
HR,527.000,527.000,18.000,0.034,106.000,0.201,193.000,0.366,196.000,0.371,14.000,0.027
IT,1498.000,1498.000,117.000,0.078,453.000,0.302,530.000,0.354,360.000,0.240,39.000,0.026
CY,107.000,107.000,9.000,0.080,21.000,0.199,36.000,0.334,39.000,0.369,2.000,0.018
LV,538.000,538.000,26.000,0.048,101.000,0.187,218.000,0.404,184.000,0.342,10.000,0.019
LT,535.000,535.000,83.000,0.154,154.000,0.289,172.000,0.321,109.000,0.204,17.000,0.032
LU,106.000,106.000,3.000,0.025,35.000,0.333,32.000,0.298,30.000,0.286,6.000,0.057
HU,553.000,553.000,39.000,0.071,135.000,0.245,190.000,0.344,181.000,0.327,7.000,0.013
MT,103.000,103.000,4.000,0.034,29.000,0.280,41.000,0.393,27.000,0.266,3.000,0.027
NL,578.000,578.000,53.000,0.092,189.000,0.327,223.000,0.386,100.000,0.172,13.000,0.023
AT,528.000,528.000,76.000,0.144,189.000,0.359,176.000,0.332,76.000,0.144,11.000,0.021
PL,1496.000,1496.000,164.000,0.110,449.000,0.300,562.000,0.376,271.000,0.181,50.000,0.033
PT,564.000,564.000,50.000,0.089,198.000,0.352,190.000,0.337,125.000,0.221,1.000,0.001
RO,532.000,532.000,60.000,0.113,154.000,0.290,179.000,0.337,130.000,0.244,8.000,0.015
SI,528.000,528.000,28.000,0.052,128.000,0.242,212.000,0.402,154.000,0.292,6.000,0.012
SK,528.000,528.000,50.000,0.095,149.000,0.282,184.000,0.349,133.000,0.251,12.000,0.023
FI,548.000,548.000,29.000,0.053,144.000,0.264,245.000,0.448,115.000,0.210,14.000,0.025
SE,564.000,564.000,55.000,0.098,183.000,0.324,209.000,0.370,98.000,0.173,20.000,0.035
