,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
CY,107.000,107.000,4.000,0.035,1.000,0.007,1.000,0.013,1.000,0.011,4.000,0.038,13.000,0.121,10.000,0.094,7.000,0.061,20.000,0.184,24.000,0.222,22.000,0.201,1.000,0.013,7.400
LV,538.000,538.000,2.000,0.003,0.000,0.000,6.000,0.011,9.000,0.016,22.000,0.041,64.000,0.119,76.000,0.140,102.000,0.190,92.000,0.172,68.000,0.126,87.000,0.161,11.000,0.020,7.300
LT,535.000,535.000,6.000,0.011,3.000,0.006,10.000,0.020,20.000,0.038,33.000,0.062,66.000,0.124,66.000,0.124,85.000,0.159,90.000,0.168,55.000,0.104,88.000,0.164,11.000,0.021,6.900
LU,106.000,106.000,3.000,0.030,1.000,0.013,0.000,0.000,1.000,0.013,3.000,0.026,7.000,0.065,6.000,0.058,22.000,0.207,20.000,0.192,10.000,0.093,31.000,0.289,1.000,0.013,7.600
HU,553.000,553.000,8.000,0.014,8.000,0.015,12.000,0.022,15.000,0.027,29.000,0.053,62.000,0.111,73.000,0.132,107.000,0.194,92.000,0.167,56.000,0.101,85.000,0.153,6.000,0.010,6.900
MT,103.000,103.000,2.000,0.022,1.000,0.007,1.000,0.008,1.000,0.008,5.000,0.050,4.000,0.034,6.000,0.062,23.000,0.227,21.000,0.208,10.000,0.093,28.000,0.275,1.000,0.007,7.700
NL,578.000,578.000,5.000,0.009,4.000,0.006,11.000,0.019,10.000,0.017,25.000,0.044,54.000,0.093,112.000,0.194,137.000,0.237,124.000,0.215,44.000,0.077,48.000,0.083,4.000,0.008,6.800
AT,528.000,528.000,4.000,0.008,9.000,0.017,7.000,0.013,9.000,0.018,15.000,0.029,46.000,0.087,57.000,0.108,98.000,0.186,105.000,0.199,57.000,0.108,94.000,0.177,25.000,0.047,7.300
PL,1496.000,1496.000,14.000,0.009,10.000,0.007,28.000,0.019,30.000,0.020,60.000,0.040,155.000,0.104,205.000,0.137,253.000,0.169,295.000,0.197,192.000,0.128,226.000,0.151,28.000,0.019,7.200
PT,564.000,564.000,0.000,0.000,0.000,0.000,1.000,0.001,4.000,0.008,2.000,0.004,13.000,0.024,35.000,0.061,89.000,0.158,124.000,0.220,105.000,0.187,186.000,0.330,4.000,0.007,8.400
RO,532.000,532.000,1.000,0.001,4.000,0.007,3.000,0.006,3.000,0.005,5.000,0.010,28.000,0.053,25.000,0.046,61.000,0.115,109.000,0.204,95.000,0.178,191.000,0.358,9.000,0.016,8.400
SI,528.000,528.000,4.000,0.007,5.000,0.010,3.000,0.005,9.000,0.018,21.000,0.041,55.000,0.103,62.000,0.118,103.000,0.196,94.000,0.179,65.000,0.123,98.000,0.186,8.000,0.015,7.300
SK,528.000,528.000,4.000,0.007,2.000,0.004,7.000,0.013,2.000,0.004,12.000,0.023,56.000,0.106,50.000,0.095,87.000,0.165,83.000,0.157,89.000,0.169,131.000,0.249,4.000,0.008,7.700
FI,548.000,548.000,3.000,0.005,3.000,0.005,4.000,0.007,18.000,0.032,19.000,0.035,37.000,0.068,57.000,0.105,95.000,0.173,119.000,0.218,79.000,0.144,107.000,0.195,7.000,0.013,7.500
SE,564.000,564.000,3.000,0.005,6.000,0.010,7.000,0.013,15.000,0.027,38.000,0.067,53.000,0.095,76.000,0.134,105.000,0.186,91.000,0.161,69.000,0.123,98.000,0.174,3.000,0.006,7.100
