,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,109.000,0.006,112.000,0.006,220.000,0.012,326.000,0.018,590.000,0.032,1633.000,0.090,2115.000,0.117,3273.000,0.180,3760.000,0.207,2529.000,0.139,3258.000,0.179,232.000,0.013,7.400
BE,548.000,548.000,5.000,0.008,5.000,0.009,8.000,0.014,9.000,0.017,24.000,0.044,44.000,0.080,106.000,0.193,114.000,0.208,116.000,0.212,55.000,0.100,57.000,0.105,6.000,0.011,7.000
BG,513.000,513.000,1.000,0.002,1.000,0.001,3.000,0.007,2.000,0.005,10.000,0.020,31.000,0.060,38.000,0.074,63.000,0.123,87.000,0.170,72.000,0.140,201.000,0.392,4.000,0.007,8.300
CZ,520.000,520.000,5.000,0.010,5.000,0.009,15.000,0.029,18.000,0.034,29.000,0.055,89.000,0.170,74.000,0.141,86.000,0.166,90.000,0.173,52.000,0.099,51.000,0.099,7.000,0.014,6.600
DK,535.000,535.000,4.000,0.007,7.000,0.013,5.000,0.010,15.000,0.027,19.000,0.035,66.000,0.123,69.000,0.128,116.000,0.217,101.000,0.189,66.000,0.123,60.000,0.112,8.000,0.015,7.000
DE,1548.000,1548.000,10.000,0.006,9.000,0.006,23.000,0.015,39.000,0.025,58.000,0.038,162.000,0.105,182.000,0.118,289.000,0.187,310.000,0.200,219.000,0.141,223.000,0.144,25.000,0.016,7.200
EE,513.000,513.000,8.000,0.015,6.000,0.012,12.000,0.023,19.000,0.037,31.000,0.061,88.000,0.171,78.000,0.153,73.000,0.143,105.000,0.205,41.000,0.079,47.000,0.091,5.000,0.010,6.500
IE,568.000,568.000,4.000,0.007,4.000,0.008,10.000,0.018,12.000,0.021,24.000,0.042,80.000,0.140,65.000,0.115,103.000,0.181,114.000,0.201,63.000,0.111,83.000,0.147,6.000,0.010,7.100
EL,547.000,547.000,2.000,0.003,2.000,0.004,1.000,0.002,8.000,0.015,10.000,0.018,48.000,0.087,48.000,0.088,78.000,0.143,111.000,0.203,93.000,0.170,142.000,0.260,5.000,0.009,7.900
ES,1519.000,1519.000,1.000,0.001,3.000,0.002,7.000,0.005,8.000,0.005,23.000,0.015,78.000,0.052,112.000,0.074,236.000,0.156,332.000,0.218,300.000,0.197,409.000,0.270,10.000,0.007,8.100
FR,1512.000,1512.000,14.000,0.009,14.000,0.009,22.000,0.015,37.000,0.024,64.000,0.043,166.000,0.110,195.000,0.129,281.000,0.186,318.000,0.210,166.000,0.110,210.000,0.139,23.000,0.015,7.100
HR,527.000,527.000,1.000,0.002,2.000,0.004,7.000,0.013,11.000,0.021,19.000,0.036,48.000,0.090,54.000,0.103,84.000,0.159,89.000,0.170,78.000,0.149,127.000,0.241,7.000,0.013,7.600
IT,1498.000,1498.000,3.000,0.002,2.000,0.001,7.000,0.005,10.000,0.007,18.000,0.012,89.000,0.060,166.000,0.111,305.000,0.204,375.000,0.251,250.000,0.167,265.000,0.177,7.000,0.004,7.800
