,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
FR,1512.000,1512.000,40.000,0.027,19.000,0.013,25.000,0.017,32.000,0.021,57.000,0.038,162.000,0.107,183.000,0.121,215.000,0.142,254.000,0.168,195.000,0.129,303.000,0.200,27.000,0.018,7.200
HR,527.000,527.000,12.000,0.022,8.000,0.014,6.000,0.012,15.000,0.029,13.000,0.025,55.000,0.103,38.000,0.073,55.000,0.104,65.000,0.123,73.000,0.138,180.000,0.341,8.000,0.015,7.700
IT,1498.000,1498.000,11.000,0.007,9.000,0.006,9.000,0.006,15.000,0.010,13.000,0.009,77.000,0.051,116.000,0.077,214.000,0.143,288.000,0.192,264.000,0.176,473.000,0.315,10.000,0.007,8.100
CY,107.000,107.000,4.000,0.036,2.000,0.014,1.000,0.007,9.000,0.082,3.000,0.029,14.000,0.131,6.000,0.053,5.000,0.045,19.000,0.182,16.000,0.152,29.000,0.269,0.000,0.000,7.200
LV,538.000,538.000,14.000,0.026,16.000,0.031,11.000,0.021,19.000,0.035,18.000,0.034,54.000,0.101,54.000,0.100,63.000,0.117,92.000,0.171,69.000,0.128,120.000,0.224,7.000,0.012,7.100
LT,535.000,535.000,7.000,0.014,0.000,0.000,4.000,0.007,6.000,0.012,16.000,0.030,49.000,0.092,25.000,0.048,66.000,0.124,66.000,0.123,71.000,0.132,219.000,0.409,5.000,0.009,8.100
LU,106.000,106.000,3.000,0.033,2.000,0.020,0.000,0.000,1.000,0.008,2.000,0.018,6.000,0.055,7.000,0.063,6.000,0.057,17.000,0.161,14.000,0.131,47.000,0.443,1.000,0.011,8.200
HU,553.000,553.000,15.000,0.027,12.000,0.021,12.000,0.021,21.000,0.037,27.000,0.048,78.000,0.140,50.000,0.091,57.000,0.103,75.000,0.135,55.000,0.100,147.000,0.265,6.000,0.010,7.000
MT,103.000,103.000,2.000,0.023,1.000,0.013,3.000,0.030,5.000,0.049,0.000,0.000,13.000,0.129,10.000,0.095,21.000,0.206,19.000,0.182,4.000,0.042,22.000,0.217,1.000,0.014,7.000
NL,578.000,578.000,10.000,0.018,4.000,0.007,4.000,0.006,8.000,0.014,17.000,0.029,57.000,0.098,54.000,0.093,105.000,0.182,124.000,0.214,102.000,0.177,84.000,0.146,9.000,0.016,7.400
AT,528.000,528.000,13.000,0.025,7.000,0.014,12.000,0.023,22.000,0.042,28.000,0.053,43.000,0.082,45.000,0.085,53.000,0.100,86.000,0.163,72.000,0.136,130.000,0.247,16.000,0.030,7.200
PL,1496.000,1496.000,27.000,0.018,7.000,0.004,11.000,0.007,23.000,0.016,35.000,0.024,118.000,0.079,78.000,0.052,140.000,0.093,223.000,0.149,266.000,0.178,551.000,0.368,18.000,0.012,8.100
PT,564.000,564.000,6.000,0.011,7.000,0.012,2.000,0.003,0.000,0.000,2.000,0.004,29.000,0.051,18.000,0.031,30.000,0.053,87.000,0.155,94.000,0.166,288.000,0.510,2.000,0.004,8.700
RO,532.000,532.000,6.000,0.012,1.000,0.001,10.000,0.019,5.000,0.008,11.000,0.021,24.000,0.044,25.000,0.048,45.000,0.084,61.000,0.115,87.000,0.163,254.000,0.477,3.000,0.006,8.500
SI,528.000,528.000,12.000,0.023,4.000,0.007,11.000,0.020,9.000,0.016,16.000,0.030,48.000,0.092,61.000,0.115,49.000,0.094,77.000,0.146,78.000,0.148,157.000,0.298,5.000,0.010,7.600
SK,528.000,528.000,5.000,0.009,4.000,0.008,13.000,0.025,14.000,0.026,19.000,0.036,44.000,0.084,41.000,0.077,63.000,0.119,72.000,0.136,91.000,0.173,159.000,0.301,3.000,0.006,7.700
FI,548.000,548.000,5.000,0.009,7.000,0.012,12.000,0.022,8.000,0.015,20.000,0.036,50.000,0.090,62.000,0.112,87.000,0.159,94.000,0.171,85.000,0.154,111.000,0.203,8.000,0.015,7.400
SE,564.000,564.000,3.000,0.005,5.000,0.009,4.000,0.006,16.000,0.029,19.000,0.033,40.000,0.071,38.000,0.068,63.000,0.112,88.000,0.157,92.000,0.164,192.000,0.341,3.000,0.005,8.000
