,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,336.000,0.019,161.000,0.009,230.000,0.013,359.000,0.020,546.000,0.030,1490.000,0.082,1489.000,0.082,2349.000,0.129,2953.000,0.163,2819.000,0.155,5193.000,0.286,231.000,0.013,7.700
BE,548.000,548.000,19.000,0.035,6.000,0.012,10.000,0.018,19.000,0.034,21.000,0.038,52.000,0.095,62.000,0.114,86.000,0.158,105.000,0.191,87.000,0.159,71.000,0.129,10.000,0.018,6.900
BG,513.000,513.000,7.000,0.013,2.000,0.004,6.000,0.012,5.000,0.010,14.000,0.028,29.000,0.056,25.000,0.049,38.000,0.075,48.000,0.093,59.000,0.116,272.000,0.531,7.000,0.014,8.500
CZ,520.000,520.000,14.000,0.026,8.000,0.016,10.000,0.019,15.000,0.028,12.000,0.024,49.000,0.095,40.000,0.076,61.000,0.117,74.000,0.142,76.000,0.147,157.000,0.303,3.000,0.006,7.500
DK,535.000,535.000,7.000,0.013,4.000,0.008,4.000,0.007,14.000,0.025,27.000,0.050,43.000,0.079,42.000,0.078,78.000,0.146,96.000,0.180,86.000,0.161,128.000,0.240,6.000,0.012,7.600
DE,1548.000,1548.000,21.000,0.014,14.000,0.009,21.000,0.013,44.000,0.028,66.000,0.043,128.000,0.083,126.000,0.081,212.000,0.137,246.000,0.159,243.000,0.157,402.000,0.259,26.000,0.017,7.600
EE,513.000,513.000,14.000,0.027,5.000,0.011,8.000,0.016,15.000,0.029,20.000,0.039,53.000,0.103,51.000,0.100,72.000,0.141,85.000,0.166,61.000,0.118,124.000,0.241,5.000,0.010,7.300
IE,568.000,568.000,7.000,0.012,2.000,0.003,10.000,0.018,18.000,0.032,20.000,0.035,57.000,0.101,54.000,0.096,70.000,0.122,112.000,0.197,67.000,0.118,149.000,0.262,3.000,0.005,7.500
EL,547.000,547.000,12.000,0.022,7.000,0.013,8.000,0.015,10.000,0.019,17.000,0.030,40.000,0.074,41.000,0.075,63.000,0.114,105.000,0.192,80.000,0.147,158.000,0.290,5.000,0.009,7.700
ES,1519.000,1519.000,46.000,0.030,11.000,0.007,17.000,0.011,11.000,0.007,33.000,0.021,117.000,0.077,109.000,0.072,225.000,0.148,221.000,0.146,250.000,0.164,466.000,0.307,15.000,0.010,7.800
