,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,1974.000,0.109,1318.000,0.073,1778.000,0.098,1903.000,0.105,1788.000,0.098,2934.000,0.162,1782.000,0.098,1697.000,0.093,1347.000,0.074,677.000,0.037,500.000,0.028,459.000,0.025,4.300
BE,548.000,548.000,68.000,0.124,45.000,0.082,55.000,0.101,55.000,0.101,59.000,0.108,75.000,0.137,53.000,0.096,53.000,0.097,41.000,0.075,18.000,0.033,12.000,0.022,13.000,0.024,4.200
BG,513.000,513.000,61.000,0.120,51.000,0.099,55.000,0.107,51.000,0.100,51.000,0.099,92.000,0.180,37.000,0.071,39.000,0.076,22.000,0.043,17.000,0.032,30.000,0.059,7.000,0.013,4.200
CZ,520.000,520.000,69.000,0.132,37.000,0.070,59.000,0.114,80.000,0.154,53.000,0.101,96.000,0.185,44.000,0.084,27.000,0.053,20.000,0.038,14.000,0.026,14.000,0.027,8.000,0.015,3.800
DK,535.000,535.000,79.000,0.148,54.000,0.101,71.000,0.132,66.000,0.123,57.000,0.106,73.000,0.137,41.000,0.077,35.000,0.065,20.000,0.037,15.000,0.028,11.000,0.021,13.000,0.025,3.600
DE,1548.000,1548.000,161.000,0.104,104.000,0.067,159.000,0.103,160.000,0.104,153.000,0.099,222.000,0.143,149.000,0.097,164.000,0.106,136.000,0.088,66.000,0.042,27.000,0.018,45.000,0.029,4.400
EE,513.000,513.000,91.000,0.177,56.000,0.109,89.000,0.174,74.000,0.144,46.000,0.090,71.000,0.139,26.000,0.051,22.000,0.044,14.000,0.027,9.000,0.017,5.000,0.009,10.000,0.020,3.100
IE,568.000,568.000,35.000,0.061,30.000,0.052,51.000,0.091,49.000,0.086,68.000,0.120,111.000,0.195,60.000,0.105,54.000,0.095,54.000,0.096,24.000,0.042,16.000,0.029,16.000,0.029,4.800
EL,547.000,547.000,59.000,0.108,32.000,0.059,45.000,0.082,56.000,0.102,52.000,0.094,97.000,0.177,57.000,0.104,51.000,0.093,43.000,0.079,30.000,0.055,20.000,0.037,5.000,0.010,4.600
ES,1519.000,1519.000,199.000,0.131,110.000,0.073,145.000,0.096,163.000,0.107,137.000,0.090,263.000,0.173,158.000,0.104,133.000,0.088,100.000,0.066,52.000,0.034,33.000,0.022,25.000,0.016,4.200
FR,1512.000,1512.000,151.000,0.100,123.000,0.081,158.000,0.104,151.000,0.100,141.000,0.093,256.000,0.169,140.000,0.092,138.000,0.091,94.000,0.062,59.000,0.039,44.000,0.029,57.000,0.038,4.300
HR,527.000,527.000,78.000,0.148,50.000,0.095,62.000,0.118,69.000,0.132,44.000,0.084,74.000,0.141,45.000,0.085,36.000,0.069,26.000,0.050,17.000,0.031,17.000,0.032,8.000,0.016,3.800
IT,1498.000,1498.000,85.000,0.057,67.000,0.045,81.000,0.054,115.000,0.077,159.000,0.106,277.000,0.185,212.000,0.141,214.000,0.143,148.000,0.099,66.000,0.044,36.000,0.024,36.000,0.024,5.100
CY,107.000,107.000,21.000,0.194,8.000,0.075,12.000,0.111,10.000,0.094,8.000,0.078,23.000,0.213,5.000,0.045,6.000,0.055,2.000,0.015,4.000,0.037,7.000,0.061,2.000,0.021,3.800
LV,538.000,538.000,67.000,0.124,38.000,0.070,53.000,0.098,66.000,0.122,51.000,0.094,96.000,0.179,55.000,0.103,51.000,0.095,20.000,0.037,11.000,0.020,18.000,0.033,14.000,0.025,4.100
LT,535.000,535.000,38.000,0.071,28.000,0.053,48.000,0.090,54.000,0.102,57.000,0.106,112.000,0.209,60.000,0.112,49.000,0.091,28.000,0.053,19.000,0.036,33.000,0.061,8.000,0.015,4.800
LU,106.000,106.000,16.000,0.148,9.000,0.086,14.000,0.133,14.000,0.136,6.000,0.052,17.000,0.161,6.000,0.053,10.000,0.098,3.000,0.030,1.000,0.009,6.000,0.055,4.000,0.038,3.800
HU,553.000,553.000,82.000,0.148,53.000,0.097,78.000,0.141,43.000,0.078,42.000,0.077,100.000,0.180,43.000,0.077,41.000,0.074,30.000,0.054,20.000,0.036,16.000,0.029,6.000,0.011,3.900
MT,103.000,103.000,17.000,0.165,10.000,0.093,17.000,0.167,10.000,0.100,10.000,0.095,19.000,0.183,6.000,0.061,5.000,0.052,2.000,0.015,4.000,0.034,2.000,0.016,2.000,0.019,3.400
NL,578.000,578.000,53.000,0.091,40.000,0.069,58.000,0.101,66.000,0.114,74.000,0.127,81.000,0.139,64.000,0.112,60.000,0.103,47.000,0.081,13.000,0.023,13.000,0.022,10.000,0.017,4.400
AT,528.000,528.000,62.000,0.118,40.000,0.077,52.000,0.098,61.000,0.115,45.000,0.085,78.000,0.148,46.000,0.087,51.000,0.096,36.000,0.068,17.000,0.033,14.000,0.027,25.000,0.048,4.200
PL,1496.000,1496.000,258.000,0.173,142.000,0.095,158.000,0.105,162.000,0.108,146.000,0.098,197.000,0.132,110.000,0.074,88.000,0.059,107.000,0.072,40.000,0.027,37.000,0.025,51.000,0.034,3.700
PT,564.000,564.000,59.000,0.105,38.000,0.067,45.000,0.079,61.000,0.109,51.000,0.090,106.000,0.188,51.000,0.090,44.000,0.078,58.000,0.102,21.000,0.037,25.000,0.045,4.000,0.008,4.600
RO,532.000,532.000,39.000,0.073,37.000,0.069,49.000,0.093,69.000,0.131,56.000,0.105,90.000,0.169,45.000,0.084,37.000,0.069,41.000,0.077,28.000,0.052,34.000,0.064,7.000,0.013,4.700
SI,528.000,528.000,98.000,0.186,60.000,0.113,47.000,0.089,64.000,0.122,36.000,0.068,81.000,0.153,48.000,0.092,27.000,0.052,28.000,0.053,22.000,0.041,10.000,0.020,6.000,0.012,3.600
SK,528.000,528.000,75.000,0.142,45.000,0.085,68.000,0.128,65.000,0.123,55.000,0.103,82.000,0.155,47.000,0.090,36.000,0.067,13.000,0.024,8.000,0.014,29.000,0.054,7.000,0.014,3.800
FI,548.000,548.000,51.000,0.092,36.000,0.066,62.000,0.114,74.000,0.135,35.000,0.065,92.000,0.167,63.000,0.115,50.000,0.092,38.000,0.069,17.000,0.032,11.000,0.019,18.000,0.034,4.300
SE,564.000,564.000,53.000,0.094,38.000,0.068,70.000,0.124,72.000,0.128,59.000,0.105,93.000,0.165,45.000,0.081,42.000,0.075,42.000,0.075,21.000,0.038,20.000,0.035,7.000,0.013,4.300
