,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
EU27,18156.000,18156.000,467.000,0.026,401.000,0.022,714.000,0.039,1095.000,0.060,1346.000,0.074,3010.000,0.166,2676.000,0.147,3058.000,0.168,2536.000,0.140,1331.000,0.073,1247.000,0.069,273.000,0.015,6.000
BE,548.000,548.000,17.000,0.031,9.000,0.017,18.000,0.033,43.000,0.079,45.000,0.082,102.000,0.186,96.000,0.175,98.000,0.180,67.000,0.122,29.000,0.052,16.000,0.029,8.000,0.014,5.700
BG,513.000,513.000,9.000,0.017,2.000,0.003,12.000,0.023,16.000,0.032,25.000,0.048,80.000,0.156,74.000,0.144,81.000,0.158,67.000,0.131,52.000,0.102,91.000,0.178,3.000,0.007,6.900
CZ,520.000,520.000,18.000,0.035,13.000,0.025,29.000,0.056,48.000,0.093,52.000,0.099,104.000,0.200,88.000,0.168,73.000,0.141,49.000,0.095,21.000,0.041,21.000,0.040,4.000,0.007,5.400
DK,535.000,535.000,23.000,0.043,22.000,0.041,39.000,0.074,73.000,0.136,68.000,0.127,95.000,0.177,75.000,0.140,61.000,0.114,35.000,0.066,15.000,0.029,14.000,0.027,15.000,0.028,4.800
DE,1548.000,1548.000,63.000,0.041,49.000,0.032,108.000,0.070,137.000,0.088,146.000,0.094,265.000,0.171,214.000,0.139,209.000,0.135,163.000,0.105,98.000,0.063,61.000,0.039,35.000,0.023,5.400
EE,513.000,513.000,16.000,0.031,23.000,0.045,54.000,0.104,64.000,0.125,67.000,0.130,86.000,0.167,69.000,0.135,62.000,0.120,39.000,0.076,11.000,0.022,14.000,0.027,9.000,0.017,4.800
IE,568.000,568.000,7.000,0.013,3.000,0.005,13.000,0.023,35.000,0.061,45.000,0.080,94.000,0.166,91.000,0.160,106.000,0.187,84.000,0.148,43.000,0.076,40.000,0.071,6.000,0.011,6.300
EL,547.000,547.000,0.000,0.000,6.000,0.010,5.000,0.010,15.000,0.028,24.000,0.044,53.000,0.098,63.000,0.115,117.000,0.213,110.000,0.201,66.000,0.120,85.000,0.156,3.000,0.005,7.200
ES,1519.000,1519.000,14.000,0.009,18.000,0.012,27.000,0.018,43.000,0.028,59.000,0.039,202.000,0.133,260.000,0.171,326.000,0.215,262.000,0.172,148.000,0.097,152.000,0.100,10.000,0.007,6.800
FR,1512.000,1512.000,38.000,0.025,44.000,0.029,54.000,0.036,82.000,0.054,136.000,0.090,296.000,0.196,207.000,0.137,256.000,0.170,203.000,0.134,83.000,0.055,82.000,0.055,30.000,0.020,5.800
HR,527.000,527.000,6.000,0.011,6.000,0.010,23.000,0.044,29.000,0.055,33.000,0.064,73.000,0.138,69.000,0.131,88.000,0.168,105.000,0.199,42.000,0.080,46.000,0.088,6.000,0.011,6.400
IT,1498.000,1498.000,19.000,0.013,12.000,0.008,21.000,0.014,29.000,0.019,54.000,0.036,182.000,0.121,261.000,0.174,322.000,0.215,306.000,0.204,161.000,0.107,118.000,0.079,14.000,0.010,6.800
