,Base: Total,Base: Weighted Total,0 - Extremely unimportant,0 - Extremely unimportant pct,1,1 pct,2,2 pct,3,3 pct,4,4 pct,5,5 pct,6,6 pct,7,7 pct,8,8 pct,9,9 pct,10 - Extremely important,10 - Extremely important pct,Don't know,Don't know pct,Mean
CY,107.000,107.000,1.000,0.012,1.000,0.007,2.000,0.022,6.000,0.052,6.000,0.058,7.000,0.064,11.000,0.107,25.000,0.233,11.000,0.104,15.000,0.142,19.000,0.178,2.000,0.021,7.100
LV,538.000,538.000,14.000,0.026,12.000,0.022,32.000,0.059,36.000,0.066,48.000,0.089,100.000,0.185,101.000,0.189,78.000,0.146,57.000,0.106,36.000,0.066,18.000,0.033,7.000,0.012,5.600
LT,535.000,535.000,4.000,0.008,9.000,0.017,18.000,0.034,32.000,0.059,46.000,0.085,87.000,0.163,71.000,0.132,86.000,0.160,78.000,0.145,47.000,0.087,50.000,0.094,8.000,0.016,6.300
LU,106.000,106.000,12.000,0.118,1.000,0.008,8.000,0.072,9.000,0.083,6.000,0.059,18.000,0.168,8.000,0.074,22.000,0.205,7.000,0.068,8.000,0.076,6.000,0.055,1.000,0.013,5.200
HU,553.000,553.000,31.000,0.057,23.000,0.042,37.000,0.066,53.000,0.095,55.000,0.100,119.000,0.215,83.000,0.150,54.000,0.098,37.000,0.067,26.000,0.047,32.000,0.059,2.000,0.003,5.100
MT,103.000,103.000,1.000,0.007,0.000,0.000,10.000,0.099,6.000,0.054,7.000,0.070,18.000,0.179,11.000,0.110,22.000,0.215,17.000,0.164,2.000,0.023,8.000,0.078,0.000,0.000,6.000
NL,578.000,578.000,21.000,0.036,13.000,0.023,22.000,0.038,40.000,0.069,58.000,0.100,105.000,0.182,95.000,0.164,97.000,0.168,89.000,0.154,17.000,0.030,11.000,0.020,9.000,0.015,5.600
AT,528.000,528.000,19.000,0.037,17.000,0.032,31.000,0.058,53.000,0.101,44.000,0.083,92.000,0.174,77.000,0.145,65.000,0.124,48.000,0.092,40.000,0.075,25.000,0.048,17.000,0.032,5.500
PL,1496.000,1496.000,37.000,0.025,31.000,0.021,49.000,0.033,88.000,0.059,110.000,0.073,283.000,0.189,215.000,0.144,264.000,0.177,211.000,0.141,87.000,0.058,95.000,0.063,25.000,0.017,6.000
PT,564.000,564.000,6.000,0.011,1.000,0.002,8.000,0.014,11.000,0.020,27.000,0.048,95.000,0.169,70.000,0.125,129.000,0.229,87.000,0.153,64.000,0.114,63.000,0.112,2.000,0.004,6.900
RO,532.000,532.000,4.000,0.008,7.000,0.013,10.000,0.019,16.000,0.029,21.000,0.039,63.000,0.118,56.000,0.105,71.000,0.134,95.000,0.179,77.000,0.145,106.000,0.200,6.000,0.010,7.300
SI,528.000,528.000,7.000,0.013,13.000,0.025,27.000,0.051,30.000,0.056,39.000,0.074,103.000,0.194,69.000,0.130,90.000,0.170,71.000,0.134,42.000,0.080,36.000,0.067,3.000,0.006,6.000
SK,528.000,528.000,13.000,0.025,14.000,0.026,15.000,0.029,47.000,0.090,37.000,0.070,107.000,0.203,84.000,0.158,77.000,0.146,55.000,0.104,27.000,0.052,42.000,0.079,10.000,0.019,5.800
FI,548.000,548.000,19.000,0.034,19.000,0.035,41.000,0.074,48.000,0.088,69.000,0.127,93.000,0.171,82.000,0.149,71.000,0.130,54.000,0.099,23.000,0.042,16.000,0.028,13.000,0.023,5.200
SE,564.000,564.000,25.000,0.044,26.000,0.045,38.000,0.068,78.000,0.137,58.000,0.104,110.000,0.195,70.000,0.125,67.000,0.118,43.000,0.077,25.000,0.044,19.000,0.033,6.000,0.010,4.900
