,Total,No,No %,Yes,Yes %,Don't know,Don't know %
IT,882.0,617.0,0.7,229.0,0.26,35.0,0.04
PT,785.0,553.0,0.7,211.0,0.27,20.0,0.03
AT,920.0,574.0,0.62,301.0,0.33,45.0,0.05
D-E,426.0,275.0,0.64,144.0,0.34,7.0,0.02
RO,766.0,427.0,0.56,301.0,0.39,38.0,0.05
DE,1483.0,858.0,0.58,602.0,0.41,23.0,0.01
CY,419.0,236.0,0.56,170.0,0.41,13.0,0.03
BG,812.0,359.0,0.44,347.0,0.43,107.0,0.13
D-W,1056.0,587.0,0.55,451.0,0.43,18.0,0.02
NL,1026.0,567.0,0.55,449.0,0.44,10.0,0.01
ES,860.0,432.0,0.5,384.0,0.45,44.0,0.05
EU27,23915.0,12487.0,0.52,10649.0,0.45,779.0,0.03
EL,815.0,439.0,0.54,373.0,0.46,3.0,0.0
PL,833.0,405.0,0.49,393.0,0.47,35.0,0.04
HU,874.0,445.0,0.51,417.0,0.48,11.0,0.01
FI,1022.0,500.0,0.49,522.0,0.51,0.0,0.0
FR,902.0,386.0,0.43,472.0,0.52,44.0,0.05
HR,937.0,423.0,0.45,489.0,0.52,25.0,0.03
BE,1043.0,482.0,0.46,561.0,0.54,0.0,0.0
DK,1027.0,417.0,0.41,579.0,0.56,31.0,0.03
SI,1036.0,439.0,0.42,595.0,0.58,2.0,0.0
SK,907.0,287.0,0.32,556.0,0.61,65.0,0.07
MT,475.0,135.0,0.28,293.0,0.62,46.0,0.1
LU,550.0,209.0,0.38,339.0,0.62,2.0,0.0
IE,1050.0,369.0,0.35,680.0,0.65,1.0,0.0
SE,1040.0,336.0,0.32,684.0,0.66,20.0,0.02
LV,932.0,260.0,0.28,637.0,0.68,35.0,0.04
LT,1047.0,305.0,0.29,742.0,0.71,0.0,0.0
CZ,1050.0,285.0,0.27,761.0,0.73,4.0,0.0
EE,1011,145,0.14,866,0.86,-,0
