,Total,No,No %,Yes,Yes %,Don't know,Don't know %
D-E,426.0,276.0,0.65,130.0,0.31,20.0,0.04
AT,920.0,577.0,0.63,291.0,0.31,52.0,0.06
IT,882.0,560.0,0.64,291.0,0.33,30.0,0.03
PT,785.0,459.0,0.58,306.0,0.39,20.0,0.03
DE,1483.0,852.0,0.57,588.0,0.4,43.0,0.03
D-W,1056.0,579.0,0.55,450.0,0.42,27.0,0.03
RO,766.0,373.0,0.49,363.0,0.47,30.0,0.04
BG,812.0,311.0,0.38,400.0,0.49,101.0,0.13
PL,833.0,388.0,0.47,411.0,0.49,34.0,0.04
NL,1026.0,493.0,0.48,503.0,0.49,29.0,0.03
HU,874.0,429.0,0.49,425.0,0.49,19.0,0.02
CY,419.0,196.0,0.47,215.0,0.51,8.0,0.02
EU27,23915.0,10938.0,0.46,12171.0,0.51,806.0,0.03
ES,860.0,348.0,0.4,470.0,0.55,42.0,0.05
FI,1022.0,446.0,0.44,576.0,0.56,0.0,0.0
BE,1043.0,403.0,0.39,640.0,0.61,0.0,0.0
DK,1027.0,359.0,0.35,639.0,0.62,29.0,0.03
HR,937.0,316.0,0.34,608.0,0.65,13.0,0.01
SI,1036.0,359.0,0.35,674.0,0.65,3.0,0.0
EL,815.0,280.0,0.34,528.0,0.65,7.0,0.01
FR,902.0,255.0,0.28,611.0,0.68,36.0,0.04
IE,1050.0,340.0,0.32,709.0,0.68,1.0,0.0
LU,550.0,163.0,0.3,386.0,0.7,2.0,0.0
SE,1040.0,293.0,0.28,731.0,0.7,16.0,0.02
LT,1047.0,298.0,0.29,748.0,0.71,1.0,0.0
LV,932.0,219.0,0.24,672.0,0.72,41.0,0.04
SK,907.0,187.0,0.21,657.0,0.72,64.0,0.07
MT,475.0,83.0,0.18,353.0,0.74,40.0,0.08
CZ,1050.0,242.0,0.23,808.0,0.77,0.0,0.0
EE,1011,138,0.14,873,0.86,-,0
