,Total,No,No %,Yes,Yes %,Don't know,Don't know %
IT,882.0,637.0,0.72,215.0,0.24,30.0,0.04
PT,785.0,575.0,0.73,187.0,0.24,23.0,0.03
D-E,426.0,306.0,0.72,113.0,0.27,6.0,0.01
AT,920.0,598.0,0.65,267.0,0.29,55.0,0.06
EL,815.0,563.0,0.69,249.0,0.31,3.0,0.0
NL,1026.0,666.0,0.65,330.0,0.32,30.0,0.03
DE,1483.0,957.0,0.64,483.0,0.33,42.0,0.03
CY,419.0,268.0,0.64,139.0,0.33,12.0,0.03
HU,874.0,552.0,0.63,300.0,0.35,21.0,0.02
D-W,1056.0,655.0,0.62,368.0,0.35,32.0,0.03
EU27,23915.0,14063.0,0.59,8968.0,0.37,884.0,0.04
BG,812.0,381.0,0.47,302.0,0.37,130.0,0.16
ES,860.0,472.0,0.55,340.0,0.39,48.0,0.06
FI,1022.0,615.0,0.6,407.0,0.4,0.0,0.0
RO,766.0,432.0,0.56,303.0,0.4,30.0,0.04
PL,833.0,443.0,0.53,346.0,0.42,45.0,0.05
FR,902.0,470.0,0.52,387.0,0.43,46.0,0.05
DK,1027.0,536.0,0.52,450.0,0.44,41.0,0.04
HR,937.0,467.0,0.5,435.0,0.46,35.0,0.04
SE,1040.0,520.0,0.5,498.0,0.48,22.0,0.02
BE,1043.0,533.0,0.51,510.0,0.49,0.0,0.0
IE,1050.0,511.0,0.49,538.0,0.51,2.0,0.0
MT,475.0,170.0,0.36,251.0,0.53,54.0,0.11
SI,1036.0,467.0,0.45,565.0,0.55,3.0,0.0
LU,550.0,239.0,0.44,310.0,0.56,2.0,0.0
CZ,1050.0,418.0,0.4,632.0,0.6,0.0,0.0
LV,932.0,329.0,0.35,554.0,0.6,49.0,0.05
SK,907.0,301.0,0.33,539.0,0.6,67.0,0.07
LT,1047.0,383.0,0.37,664.0,0.63,0.0,0.0
EE,1011,225,0.22,786,0.78,-,0
